id,job_number,scan_date,files_scanned,changes_detected,scan_duration
169,34489,2025-10-17T13:26:31.702164,12,0,34.031134605407715
170,34489,2025-10-17T13:27:10.437697,12,0,33.6273238658905
171,34489,2025-10-17T13:27:48.566515,12,0,33.031121015548706
172,34489,2025-10-17T13:28:27.314900,12,0,33.64008712768555
173,34489,2025-10-17T13:29:06.089497,12,0,33.668227434158325
174,34489,2025-10-17T13:29:45.718344,12,0,34.522868633270264
175,34489,2025-10-17T13:30:22.668796,12,0,31.856961965560913
176,34489,2025-10-17T13:31:00.107068,12,0,32.33844709396362
177,34489,2025-10-17T13:31:38.068201,12,0,32.858190298080444
178,34489,2025-10-17T13:32:18.016453,12,0,34.818591594696045
179,34489,2025-10-17T13:32:57.747976,12,0,34.631131649017334
180,34489,2025-10-17T13:33:35.262012,12,0,32.41192960739136
181,34489,2025-10-17T13:34:12.276267,12,0,31.914023637771606
182,34489,2025-10-17T13:34:49.898548,12,0,32.51826786994934
183,34489,2025-10-17T13:35:26.840380,12,0,31.844375371932983
184,34489,2025-10-17T13:36:04.058587,12,0,32.121273040771484
185,34489,2025-10-17T13:36:41.444463,12,0,32.28371620178223
186,34489,2025-10-17T13:37:18.967714,12,0,32.418538331985474
187,34489,2025-10-17T13:38:11.322597,12,0,47.25305199623108
188,34489,2025-10-17T13:39:01.611881,12,0,45.150784730911255
189,34489,2025-10-17T13:39:52.112650,12,0,45.36212372779846
190,34489,2025-10-17T13:40:41.837327,12,0,44.588419675827026
191,34489,2025-10-17T13:41:32.587834,12,0,45.622599840164185
192,34489,2025-10-17T13:42:31.989768,12,0,54.27369666099548
193,34489,2025-10-17T13:43:20.857166,12,0,43.7260320186615
194,34489,2025-10-17T13:44:07.551495,12,0,41.554251194000244
195,34489,2025-10-17T13:44:56.048309,12,0,43.35971450805664
196,34489,2025-10-17T13:45:34.139027,12,0,32.985297203063965
197,34489,2025-10-17T13:46:11.606440,12,0,32.35833668708801
198,34489,2025-10-17T13:46:49.191552,12,0,32.48136901855469
199,34489,2025-10-17T13:47:25.874974,12,0,31.576740741729736
200,34489,2025-10-17T13:48:03.700918,12,0,32.72714138031006
201,34489,2025-10-17T13:48:41.740737,12,0,32.93850135803223
202,34489,2025-10-17T13:49:20.232234,12,0,33.393933057785034
203,34489,2025-10-17T13:49:58.502507,12,0,33.17313194274902
204,34489,2025-10-17T13:50:36.578691,12,0,32.973570108413696
205,34489,2025-10-17T13:51:16.728318,12,0,35.04189491271973
206,34489,2025-10-17T13:51:55.290343,12,0,33.45887732505798
207,34489,2025-10-17T13:52:37.217048,12,0,36.829856157302856
208,34489,2025-10-17T13:53:14.907896,12,0,32.57892632484436
209,34489,2025-10-17T13:53:51.880798,12,0,31.868243932724
210,34489,2025-10-17T13:54:30.092649,12,0,33.105297327041626
211,34489,2025-10-17T13:55:07.431699,12,0,32.23327350616455
212,34489,2025-10-17T13:55:45.510550,12,0,32.9803729057312
213,34489,2025-10-17T13:56:22.749489,12,0,32.13584494590759
214,34489,2025-10-17T13:57:00.521064,12,0,32.667829275131226
215,34489,2025-10-17T13:57:50.545984,12,0,44.91962146759033
216,34489,2025-10-17T13:58:40.746760,12,0,45.05712532997131
217,34489,2025-10-17T13:59:30.258382,12,0,44.36796736717224
218,34489,2025-10-17T14:00:23.357698,12,0,47.95229530334473
219,34489,2025-10-17T14:01:14.050821,12,0,45.547807693481445
220,34489,2025-10-17T14:02:05.814196,12,0,46.61452674865723
221,34489,2025-10-17T14:03:03.823559,12,0,52.87188506126404
222,34489,2025-10-17T14:03:54.270361,12,0,45.3128502368927
223,34489,2025-10-17T14:04:54.843116,12,0,55.39460039138794
224,34489,2025-10-17T14:05:56.188792,12,0,56.16298866271973
225,34489,2025-10-17T14:06:57.977258,12,0,56.61557698249817
226,35167,2025-10-17T16:00:28.494915,31,0,56.89582657814026
227,35042,2025-10-17T16:01:16.937580,23,1,43.41796040534973
228,35042,2025-10-17T16:02:19.039279,23,0,44.65055871009827
229,35042,2025-10-17T16:03:06.768910,23,0,42.713197231292725
230,35042,2025-10-17T16:03:53.985956,23,0,42.20179510116577
231,35042,2025-10-17T16:04:44.512144,23,0,45.51774501800537
232,11111,2025-10-17T16:21:34.050004,462,462,588.4665803909302
233,11111,2025-10-17T16:21:34.089888,462,462,588.0924589633942
234,34489,2025-10-20T10:14:42.698448,12,0,36.71378517150879
235,35140,2025-10-20T11:57:51.274552,8,0,26.152259588241577
236,35140,2025-10-20T11:57:51.314899,8,0,9.976140022277832
237,35256,2025-10-20T11:57:55.834956,16,0,38.936999559402466
238,35256,2025-10-20T11:58:37.510793,16,0,45.654093742370605
239,35256,2025-10-20T11:58:37.550765,16,0,45.69326424598694
240,35154,2025-10-20T11:59:31.242984,14,1,53.10405087471008
241,35154,2025-10-20T11:59:31.279591,14,0,53.223875761032104
242,35042,2025-10-20T12:00:19.621092,27,13,47.83491563796997
243,35042,2025-10-20T12:00:19.661199,27,9,47.73498582839966
244,35394,2025-10-20T12:02:17.946716,234,6,256.95697021484375
245,35354,2025-10-20T12:06:27.539828,159,10,367.3330852985382
246,35354,2025-10-20T12:06:27.542417,159,2,367.3356931209564
247,35167,2025-10-20T12:08:16.612123,31,0,108.33195424079895
248,35167,2025-10-20T12:08:16.612324,31,0,108.49094843864441
249,35394,2025-10-20T12:10:01.394664,234,0,458.27938294410706
250,35371,2025-10-20T12:12:20.914594,121,63,242.95371913909912
251,35371,2025-10-20T12:12:20.916502,121,55,242.0750024318695
252,35397,2025-10-20T12:13:03.857106,21,0,42.31504034996033
253,35397,2025-10-20T12:13:03.857212,21,0,42.399609327316284
254,35394,2025-10-20T12:13:39.352844,234,0,212.74755716323853
255,34489,2025-10-20T12:13:42.245884,12,0,37.84367251396179
256,34489,2025-10-20T12:13:42.245944,12,0,37.76124906539917
257,35351,2025-10-20T12:14:24.633031,13,1,41.76123785972595
258,35351,2025-10-20T12:14:24.632966,13,1,41.84314727783203
259,35332,2025-10-20T12:16:46.942690,114,6,141.72572445869446
260,35332,2025-10-20T12:16:46.969459,114,1,141.5658257007599
261,35394,2025-10-20T12:17:17.337405,234,0,212.87449026107788
262,35359,2025-10-20T12:17:27.304820,14,0,39.77742862701416
263,35359,2025-10-20T12:17:27.318447,14,0,39.79089045524597
264,35394,2025-10-20T12:22:51.017390,234,0,323.2110331058502
265,35394,2025-10-20T12:22:51.017588,234,0,328.5656771659851
266,35394,2025-10-20T12:22:51.030830,234,0,323.2107346057892
267,35394,2025-10-20T12:27:01.042459,234,0,244.87914395332336
268,35394,2025-10-20T12:30:11.451603,234,0,185.30356454849243
269,35371,2025-10-20T16:30:29.898747,138,28,189.85566973686218
270,35042,2025-10-20T16:31:20.583368,27,2,45.63377594947815
271,35042,2025-10-20T16:32:07.692380,27,0,42.04426908493042
272,35042,2025-10-20T16:33:00.984470,27,0,48.272571325302124
273,35042,2025-10-20T16:33:51.318634,27,0,45.305689573287964
274,35042,2025-10-20T16:34:34.171611,27,0,37.84848594665527
275,35042,2025-10-20T16:35:18.513646,27,0,39.33798694610596
276,35042,2025-10-20T16:36:04.835027,27,0,41.317991971969604
277,35042,2025-10-20T16:36:53.749443,27,0,43.91170072555542
278,35042,2025-10-20T16:37:42.338917,27,0,43.56720757484436
279,35042,2025-10-20T16:38:29.026723,27,0,41.68430209159851
280,35042,2025-10-20T16:39:16.565939,27,0,42.536541223526
281,35042,2025-10-20T16:40:04.310855,27,0,42.73189401626587
282,35042,2025-10-20T16:40:56.618052,27,0,47.21636605262756
283,35042,2025-10-20T16:41:48.348090,27,0,46.710554361343384
284,35042,2025-10-20T16:42:40.812321,27,0,47.452319383621216
285,35042,2025-10-20T16:43:44.799050,27,0,58.968395948410034
286,35042,2025-10-20T16:45:07.252853,27,0,77.44628047943115
287,35042,2025-10-20T16:46:26.990516,27,0,74.591468334198
288,35042,2025-10-20T16:47:48.509260,27,0,76.50120306015015
289,35042,2025-10-20T16:49:09.533473,27,0,76.01319289207458
290,35042,2025-10-20T16:50:31.790678,27,0,77.24582242965698
291,35042,2025-10-20T16:51:44.710529,27,0,67.89738941192627
292,35042,2025-10-20T16:52:38.790214,27,0,49.0609016418457
293,35042,2025-10-20T16:53:32.401171,27,0,48.60155630111694
294,35042,2025-10-20T16:54:28.041904,27,0,50.53979158401489
295,35042,2025-10-20T16:55:24.438072,27,0,51.37383055686951
296,35042,2025-10-20T16:56:18.058922,27,0,48.61101460456848
297,35042,2025-10-20T16:57:11.459486,27,0,48.381725788116455
298,35042,2025-10-20T16:58:05.481119,27,0,49.002076148986816
299,35042,2025-10-20T16:58:59.129553,27,0,48.6377592086792
300,35042,2025-10-20T16:59:57.706657,27,0,53.55630588531494
301,35042,2025-10-20T17:00:54.510159,27,0,51.793639183044434
302,35042,2025-10-20T17:01:55.435895,27,0,55.903931617736816
303,35042,2025-10-20T17:02:56.306139,27,0,55.849303245544434
304,35042,2025-10-20T17:03:58.113769,27,0,56.79566407203674
305,35042,2025-10-20T17:04:52.531336,27,0,49.39997100830078
306,35042,2025-10-20T17:05:46.334765,27,0,48.79240584373474
307,35042,2025-10-20T17:06:43.002297,27,0,51.56853795051575
308,35042,2025-10-20T17:07:35.124038,27,0,47.10296273231506
