id,job_number,drawing_path,drawing_name,drawing_type,file_extension,added_date,added_by,printed
15,35354,V:\PACKAGE\PRESSURE TRANSDUCER\1055501-5 IFM HTR PT NSF.dwg,1055501-5 IFM HTR PT NSF.dwg,AutoCAD,.dwg,2025-10-10 09:15:19,User,0
16,35354,C:\$WorkingFolder\1062500 HEATER SIDE MW COVER 304.idw,1062500 HEATER SIDE MW COVER 304.idw,Inventor,.idw,2025-10-10 09:15:54,User,0
17,35354,C:\$WorkingFolder\Jobs F\STANDARDS\HEATER\MOD PIPING\SINGLE BURNER\1060600 SINGLE BURNER COOLING.idw,1060600 SINGLE BURNER COOLING.idw,Inventor,.idw,2025-10-10 09:17:29,User,0
18,35354,C:\$WorkingFolder\Jobs F\STANDARDS\MANWAY\18\304\1012838-02 SIDE MANWAY 18 SS304.idw,1012838-02 SIDE MANWAY 18 SS304.idw,Inventor,.idw,2025-10-10 09:18:28,User,0
19,35354,V:\FABS\HEATER\Top Plate Support\1038219-42 TOP PLATE BRACING.dwg,1038219-42 TOP PLATE BRACING.dwg,AutoCAD,.dwg,2025-10-10 09:20:31,User,0
20,35354,V:\FABS\HEATER\Bottom Plate Support\1047410revB 42HTR.dwg,1047410revB 42HTR.dwg,AutoCAD,.dwg,2025-10-10 09:22:18,User,0
21,35042,C:\$WorkingFolder\Jobs F\STANDARDS\Stack Sections\18\1043244 18X10FBE.idw,1043244 18X10FBE.idw,Inventor,.idw,2025-10-14 08:47:17,User,1
22,35042,C:\$WorkingFolder\Jobs F\STANDARDS\Stack Sections\18\1055780 18X5FOE.idw,1055780 18X5FOE.idw,Inventor,.idw,2025-10-14 08:48:45,User,1
23,35371,C:\$WorkingFolder\Jobs F\STANDARDS\Stack Sections\30\1047287 30X10 FOE.idw,1047287 30X10 FOE.idw,Inventor,.idw,2025-10-14 08:56:10,User,1
26,35371,C:\$WorkingFolder\Jobs F\STANDARDS\Stack Sections\Stack Caps\30\1058623 STACK CAP 30.idw,1058623 STACK CAP 30.idw,Inventor,.idw,2025-10-14 08:58:24,User,1
27,35140,C:\$WorkingFolder\Jobs F\STANDARDS\Stack Sections\18\1033367 18X10FOE.idw,1033367 18X10FOE.idw,Inventor,.idw,2025-10-14 09:01:15,User,1
28,35154,C:\$WorkingFolder\Jobs F\STANDARDS\Stack Sections\18\1043244 18X10FBE.idw,1043244 18X10FBE.idw,Inventor,.idw,2025-10-14 09:02:33,User,1
