2025-10-20 10:12:29,455 - INFO - Project File Monitor started
2025-10-20 10:13:57,950 - INFO - Project File Monitor started
2025-10-20 11:57:09,039 - INFO - Project File Monitor started
2025-10-20 12:10:40,391 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.2 FGR PIPING.idw.dwf | New file (377.6 KB)
2025-10-20 12:10:40,392 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.2 FGR PIPING.idw.dwf | New file (377.6 KB)
2025-10-20 12:10:41,141 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.3 BLOWER INLET ASSY.iam.dwf | New file (633.3 KB)
2025-10-20 12:10:41,141 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.3 BLOWER INLET ASSY.iam.dwf | New file (633.3 KB)
2025-10-20 12:10:41,832 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.3 BLOWER INLET ASSY.idw.dwf | New file (250.8 KB)
2025-10-20 12:10:41,833 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.3 BLOWER INLET ASSY.idw.dwf | New file (250.8 KB)
2025-10-20 12:10:42,749 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.4 BLOWER DUCT.iam.dwf | New file (559.9 KB)
2025-10-20 12:10:42,762 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.4 BLOWER DUCT.iam.dwf | New file (559.9 KB)
2025-10-20 12:10:43,475 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.4 BLOWER DUCT.idw.dwf | New file (320.7 KB)
2025-10-20 12:10:43,476 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.4 BLOWER DUCT.idw.dwf | New file (320.7 KB)
2025-10-20 12:10:44,427 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.5 BELLMOUNT DUCT.iam.dwf | New file (383.1 KB)
2025-10-20 12:10:44,427 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.5 BELLMOUNT DUCT.iam.dwf | New file (383.1 KB)
2025-10-20 12:10:45,158 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.5 BELLMOUNT DUCT.idw.dwf | New file (221.4 KB)
2025-10-20 12:10:45,159 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.5 BELLMOUNT DUCT.idw.dwf | New file (221.4 KB)
2025-10-20 12:10:45,724 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.6 FGR DUCT.iam.dwf | New file (115.2 KB)
2025-10-20 12:10:45,727 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.6 FGR DUCT.iam.dwf | New file (115.2 KB)
2025-10-20 12:10:46,423 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.6 FGR DUCT.idw.dwf | New file (205.4 KB)
2025-10-20 12:10:46,423 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.6 FGR DUCT.idw.dwf | New file (205.4 KB)
2025-10-20 12:10:47,260 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.7 FGR STAND.iam.dwf | New file (121.9 KB)
2025-10-20 12:10:47,261 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.7 FGR STAND.iam.dwf | New file (121.9 KB)
2025-10-20 12:10:48,740 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.7 FGR STAND.idw.dwf | New file (199.9 KB)
2025-10-20 12:10:48,740 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.7 FGR STAND.idw.dwf | New file (199.9 KB)
2025-10-20 12:10:49,363 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.8 FGR SUPPORT.iam.dwf | New file (139.4 KB)
